기업명,인증연도,리콜종류,품목
크레텍책임,2021,명령에따른리콜,도배용사다리(휴대용사다리)
크레텍책임,2021,명령에따른리콜,계단식소형사다리(휴대용사다리)
이토,2021,명령에따른리콜,활동완구(완구)
파피루스,2021,명령에따른리콜,활동완구(완구)
핀란디아,2021,명령에따른리콜,아동용 이단침대(아동용 이단침대)
쁘띠엘린,2021,명령에따른리콜,"책상, 탁자(어린이용 가구)"
파파스퍼니처,2021,명령에따른리콜,수납가구(어린이용 가구)
오픈한,2021,명령에따른리콜,우산(어린이용 우산 및 양산)
스텝케어,2021,명령에따른리콜,우산(어린이용 우산 및 양산)
제이투스포츠,2021,명령에따른리콜,유모차(유모차)
한들,2021,명령에따른리콜,필통(학용품)
포인트라인,2021,명령에따른리콜,연필류 및 연필심(학용품)
디어 아이,2021,명령에따른리콜,유아용 높은 의자(유아용 의자)
혜안,2021,명령에따른리콜,미술공예 완구(완구)
에스엠코프,2021,명령에따른리콜,역할놀이 완구(완구)
대양무역,2021,명령에따른리콜,발사체 완구(완구)
해피월드인터내셔널,2021,명령에따른리콜,봉제인형(완구)
스마트스터디,2021,명령에따른리콜,미술공예 완구(완구)
아성HMP,2021,명령에따른리콜,미술공예 완구(완구)
쁘띠엘린,2021,자발적리콜,애니핏 원목 베이비룸
스페셜라이즈드코리아 (유),2021,자발적리콜,TARMAC SL7(타막 SL7)
세파스,2021,자발적리콜,어린이용 자전거
앨리앤코(Allie and Co),2021,자발적리콜,보피역류방지쿠션
토단교재,2021,명령에따른리콜,미술공예완구(완구)
플레이맥스,2021,명령에따른리콜,교육용완구(교구)(완구)
아모스,2021,명령에따른리콜,색종이(학용품)
모던트레이드,2021,명령에따른리콜,점토류(학용품)
모던토이,2021,명령에따른리콜,기타완구(완구)
타카그룹,2021,명령에따른리콜,기타완구(완구)
토이파크,2021,명령에따른리콜,기타완구(완구)
부평씽크빅,2021,명령에따른리콜,기타완구(완구)
"Facebook Technologies, LLC, 법률대리인(김&장 법률사무소)",2021,자발적리콜,오큘러스 퀘스트 2 가상현실 헤드셋(이하 “퀘스트2”)에 장착할 탈부착가능 안면 쿠션 커버(이하 “본건 제품”)
가온셀,2021,명령에따른리콜,전지(전지)
빅트,2021,명령에따른리콜,전지(전지)
듀엘코,2021,자발적리콜,에프터마켓 자동차용 타이어(Aftermaket automobile tires)
길림인더스트리,2021,자발적리콜,애프터마켓 자동차용 타이어(Aftermarket automobile tires)
호마상사,2021,명령에따른리콜,어린이용 바퀴달린 운동화
리플스인터내셔날,2021,명령에따른리콜,유아용 섬유제품
위베네베네,2021,명령에따른리콜,유아용 섬유제품
아가방앤컴퍼니,2021,명령에따른리콜,유아용 섬유제품
해피프린스,2021,명령에따른리콜,유아용 섬유제품
"테드 (Ted Co., Ltd.)",2021,명령에따른리콜,유아용 섬유제품
클럽타이콘,2021,명령에따른리콜,완구
점프,2021,명령에따른리콜,완구
제이에스무역,2021,명령에따른리콜,어린이용 스케이트보드
리틀아티스트,2021,명령에따른리콜,완구
비앤씨,2021,명령에따른리콜,완구
베베비치,2021,명령에따른리콜,완구
세아무역(SEAHTRADE),2021,명령에따른리콜,완구
지나월드,2021,명령에따른리콜,완구
채니봉봉,2021,명령에따른리콜,어린이용 장신구
리틀킹,2021,명령에따른리콜,어린이용 장신구
라엘코리아,2021,명령에따른리콜,어린이용 장신구
케이엔에이치,2021,명령에따른리콜,어린이용 바퀴달린 운동화
동양유통,2021,명령에따른리콜,어린이용 바퀴달린 운동화
동방레포츠,2021,명령에따른리콜,어린이용 바퀴달린 운동화
에스티,2021,명령에따른리콜,어린이용 바퀴달린 운동화
바이오쉴드,2021,명령에따른리콜,어린이용 바퀴달린 운동화
윙하우스,2021,명령에따른리콜,어린이용 우산 및 양산
상생플래닛,2021,명령에따른리콜,유모차
원더키드 (WONDER KID. CO. LTD),2021,명령에따른리콜,완구
한국교육시스템,2021,명령에따른리콜,완구
장미공주,2021,명령에따른리콜,어린이용 장신구
행도씨,2021,명령에따른리콜,어린이용 장신구
더그로우,2021,명령에따른리콜,어린이용 장신구
제이플러스교역,2021,명령에따른리콜,아동용 섬유제품
위베네베네,2021,명령에따른리콜,아동용 섬유제품
스윔어바웃,2021,명령에따른리콜,스포츠용 구명복(부력 보조복)
스윔어바웃,2021,명령에따른리콜,스포츠용 구명복(부력 보조복)
스윔어바웃,2021,명령에따른리콜,스포츠용 구명복(부력 보조복)
신세계,2021,명령에따른리콜,가정용 섬유제품
쁘띠엘린,2021,자발적리콜,수납가구(어린이용가구)
쿠쿠전자,2021,자발적리콜,후드믹서(양방향 회전 블렌더)
한길통상,2021,자발적리콜,에센셜밤부식탁매트
헨티,2021,명령에따른리콜,어린이용 우산 및 양산
신본통상,2021,명령에따른리콜,어린이용 인라인 롤러스케이트
예림가구,2021,명령에따른리콜,어린이용 가구
쉴드,2021,명령에따른리콜,학용품
크리스탈하우스,2021,명령에따른리콜,아동용 섬유제품
잭키드,2021,명령에따른리콜,아동용 섬유제품
더비피,2021,명령에따른리콜,아동용 섬유제품
원통,2021,명령에따른리콜,아동용 섬유제품
M&J(엠엔제이),2021,명령에따른리콜,아동용 섬유제품
케이엔와이인터내셔널,2021,명령에따른리콜,아동용 섬유제품
유엔아이 하우스,2021,명령에따른리콜,아동용 섬유제품
와이제이트레이딩,2021,명령에따른리콜,아동용 섬유제품
엘투글로벌,2021,명령에따른리콜,아동용 섬유제품
정훈제화,2021,명령에따른리콜,어린이용 가죽제품
스텝케어,2021,명령에따른리콜,어린이용 가죽제품
에스비코리아 (SB Korea),2021,명령에따른리콜,유모차
다이치,2021,명령에따른리콜,유모차
도밍고,2021,명령에따른리콜,완구
한국교육시스템,2021,명령에따른리콜,완구
써보니,2021,명령에따른리콜,어린이용 우산 및 양산
지티에스글로벌,2021,명령에따른리콜,아동용 섬유제품
블루마운틴코리아,2021,명령에따른리콜,아동용 섬유제품
에스제이프로모션,2021,명령에따른리콜,아동용 섬유제품
제이에스무역,2021,명령에따른리콜,완구
비아리코,2021,명령에따른리콜,어린이용 안경테(선그라스를 포함)
페이퍼플레인키즈,2021,명령에따른리콜,어린이용 가죽제품
SL무역,2021,명령에따른리콜,어린이용 가죽제품
늘품,2021,명령에따른리콜,어린이용 가죽제품
아우디,2021,명령에따른리콜,어린이용 가죽제품
도트엔도트,2021,명령에따른리콜,어린이용 가죽제품
라파엘,2021,명령에따른리콜,어린이용 가죽제품
꾼컴퍼니,2021,명령에따른리콜,어린이용 가죽제품
지투코리아,2021,명령에따른리콜,완구
예성악기,2021,명령에따른리콜,학용품
파파야나인,2021,명령에따른리콜,완구
바니랜드,2021,명령에따른리콜,완구
비앤씨,2021,명령에따른리콜,완구
태서전기,2021,명령에따른리콜,완구
청양코리아,2021,명령에따른리콜,완구
해피트리,2021,명령에따른리콜,아동용 섬유제품
리틀스텔라,2021,명령에따른리콜,아동용 섬유제품
큐비스트,2021,명령에따른리콜,속눈썹 열 성형기
명경통상,2021,명령에따른리콜,속눈썹 열 성형기
까사미아,2021,명령에따른리콜,가구
엠에이치앤코,2021,명령에따른리콜,가구
세컨드컨테이너,2021,명령에따른리콜,가구
엠에이치앤코,2021,명령에따른리콜,가구
민솔가구,2021,명령에따른리콜,가구
마켓리더,2021,명령에따른리콜,가구
리샘,2021,명령에따른리콜,가구
아이솔,2021,명령에따른리콜,가구
백운조명,2021,명령에따른리콜,백열등기구
진산메디칼,2021,명령에따른리콜,고령자용보행차
조아무역,2021,명령에따른리콜,직류전원장치
한국미디어시스템,2021,명령에따른리콜,직류전원장치
세미웰전자,2021,명령에따른리콜,안정기 및 램프제어장치
엘이디그린티,2021,명령에따른리콜,안정기 및 램프제어장치
대림테크,2021,명령에따른리콜,변압기 및 전압조정기
케이알큐엘이디,2021,명령에따른리콜,일반조명기구
송풍조명,2021,명령에따른리콜,일반조명기구
갈릴리,2021,명령에따른리콜,일반조명기구
비스코엘이디조명,2021,명령에따른리콜,일반조명기구
광진조명,2021,명령에따른리콜,일반조명기구
삼주조명,2021,명령에따른리콜,일반조명기구
쓰리씨라이팅인더스,2021,명령에따른리콜,일반조명기구
티더블유라이팅(TW lighting Co. Ltd),2021,명령에따른리콜,일반조명기구
글로벌엘이디,2021,명령에따른리콜,일반조명기구
스페셜라이즈드코리아 (유),2021,자발적리콜,"LEVO FSR(리보 에프에스알), LEVO HT(리보 하드테일), KENEVO FSR(케니보 에프에스알)"
에프알엘코리아,2021,자발적리콜,W Body shaper쇼츠(스무드)
LG,2021,자발적리콜,모가미 샌들 4종 (Black/Blue/Lime/Pink)
코리아보드게임즈,2021,자발적리콜,모두의 마블 메가 디럭스
코리아보드게임즈,2021,자발적리콜,모두의 마블 이코노미
나눅스네트웍스,2021,자발적리콜,테푸이 하이박스
콘티넨탈타이어코리아 유한회사,2021,자발적리콜,자동차 타이어
제주예일상사,2021,명령에따른리콜,전지
블루오션,2021,명령에따른리콜,전지
현대프로나비,2021,명령에따른리콜,전지
디에이치코리아,2021,명령에따른리콜,전지
이지뷰,2021,명령에따른리콜,전지
세풍,2021,명령에따른리콜,전지
지오트레이드,2021,명령에따른리콜,전지
좋은마케팅,2021,명령에따른리콜,전지
네비코리아,2021,명령에따른리콜,전지
아이티온,2021,명령에따른리콜,전지
하이스트,2021,명령에따른리콜,전지
오토라인시티,2021,명령에따른리콜,전지
대원모터스,2021,명령에따른리콜,전지
에이셀,2021,명령에따른리콜,전지
리크(판매업체),2021,명령에따른리콜,직류전원장치
유니아트,2021,명령에따른리콜,완구
백광,2021,명령에따른리콜,유아용섬유제품
롯데쇼핑,2021,명령에따른리콜,아동용 섬유제품
동진침장,2021,명령에따른리콜,아동용 섬유제품
K2BIKE,2021,명령에따른리콜,어린이용 자전거
오디바이크,2021,명령에따른리콜,완구
태서전기,2021,명령에따른리콜,완구
바이크패밀리,2021,명령에따른리콜,완구
인이상사,2021,명령에따른리콜,완구
노바웨이,2021,명령에따른리콜,완구
이토,2021,명령에따른리콜,완구
하나완구,2021,명령에따른리콜,완구
매트랜드,2021,명령에따른리콜,합성수지제 어린이제품
비앤씨,2021,명령에따른리콜,합성수지제 어린이제품
금오디앤아이 지점,2021,명령에따른리콜,합성수지제 어린이제품
보아스린,2021,명령에따른리콜,완구
썬라이즈,2021,명령에따른리콜,완구
비앤씨,2021,명령에따른리콜,완구
와우키즈,2021,명령에따른리콜,완구
인케이홀딩스,2021,명령에따른리콜,아동용 섬유제품
골든래빗,2021,명령에따른리콜,아동용 섬유제품
동일금속,2021,명령에따른리콜,가정용 압력냄비 및 압력솥
광진조명,2021,명령에따른리콜,일반조명기구
아성,2021,명령에따른리콜,직류전원장치
지니스,2021,명령에따른리콜,직류전원장치
아이히트코리아,2021,명령에따른리콜,직류전원장치
락앤락,2021,명령에따른리콜,주방용 전열기구
이엘산업,2021,명령에따른리콜,일반조명기구
우보,2021,명령에따른리콜,일반조명기구
토탈룩스,2021,명령에따른리콜,일반조명기구
씨엔드에치크리에이티브,2021,자발적리콜,전지 (DC 3.7V)
방울컬렉션,2021,명령에따른리콜,전기온수매트
엘포엘,2021,자발적리콜,밸크로 삭스 스니커즈
세기AT,2021,자발적리콜,ATH-CK3TW
또래친구,2021,명령에따른리콜,아동용섬유제품
미소,2021,명령에따른리콜,어린이용안경테
오로라,2021,명령에따른리콜,건전지
윙하우스,2021,명령에따른리콜,기타 어린이제품(우의)
윙하우스,2021,명령에따른리콜,기타 어린이제품(우의)
KY I&D,2021,명령에따른리콜,아동용 섬유제품(가방류)
KY I&D,2021,명령에따른리콜,아동용 섬유제품(가방류)
거화아이엔씨,2021,명령에따른리콜,아동용 섬유제품(가방류)
거화아이엔씨,2021,명령에따른리콜,아동용 섬유제품(가방류)
쿠기 어드벤쳐,2021,명령에따른리콜,아동용 섬유제품(가방류)
웨이블레이 에듀,2021,명령에따른리콜,완구
은혜사,2021,명령에따른리콜,완구(슬라임)
자연과학습,2021,명령에따른리콜,완구(슬라임)
자연과학습,2021,명령에따른리콜,완구(슬라임)
자연과학습,2021,명령에따른리콜,완구(슬라임)
자연과학습,2021,명령에따른리콜,완구(슬라임)
더오픈하우스,2021,명령에따른리콜,학용품(필통)
더오픈하우스,2021,명령에따른리콜,학용품(봉제필통)
HY물산,2021,명령에따른리콜,학용품(봉제필통)
필박스,2021,명령에따른리콜,학용품(봉제필통)
아이엔디,2021,명령에따른리콜,아동용섬유제품
구디스,2021,명령에따른리콜,아동용섬유제품
오픈한,2021,명령에따른리콜,아동용섬유제품
아진,2021,명령에따른리콜,아동용섬유제품
성창에프앤지,2021,명령에따른리콜,아동용섬유제품
이투컴,2021,명령에따른리콜,아동용섬유제품
디자인스튜디오영,2021,명령에따른리콜,아동용섬유제품
이랜드월드패션사업부,2021,명령에따른리콜,아동용섬유제품
백운옵틱,2021,명령에따른리콜,어린이용안경테
뉴페이스옵틱,2021,명령에따른리콜,어린이용안경테
백운옵틱,2021,명령에따른리콜,어린이용안경테
오엔오 옵티칼,2021,명령에따른리콜,어린이용안경테
오름인터내셔널,2021,명령에따른리콜,어린이용안경테
꾼컴퍼니,2021,명령에따른리콜,어린이용가죽제품
파스텔세상,2021,명령에따른리콜,어린이용가죽제품
루루슈,2021,명령에따른리콜,어린이용가죽제품
투게더플러스,2021,명령에따른리콜,어린이용가죽제품
윙하우스,2021,명령에따른리콜,어린이용가죽제품
아이옷샵,2021,명령에따른리콜,유아용섬유제품
수성아이엔티,2021,명령에따른리콜,유아용섬유제품
아이옷샵,2021,명령에따른리콜,유아용섬유제품
구름위에햇님,2021,명령에따른리콜,유아용섬유제품
코디아이어패럴,2021,명령에따른리콜,유아용섬유제품
필박스,2021,명령에따른리콜,학용품
지오이에스,2021,명령에따른리콜,유아용섬유제품
유지(UJI),2021,명령에따른리콜,학용품
윙하우스,2021,명령에따른리콜,학용품
바닐라루시,2021,명령에따른리콜,학용품
팝콘 F&T,2021,명령에따른리콜,학용품
엘리스뮤직,2021,명령에따른리콜,학용품
필박스,2021,명령에따른리콜,학용품
플랜룩스,2021,명령에따른리콜,직류전원장치
티앤에스트레이딩,2021,명령에따른리콜,백열등기구
페스툴코리아유한회사,2021,자발적리콜,Kapex saw
디지프리INT,2021,자발적리콜,발열조끼
미소로테크,2021,자발적리콜,발열조끼
콜핑,2021,자발적리콜,직류전원을 사용하는 전기찜질기(테미발열조끼)
케이투코리아,2021,자발적리콜,직류전원을 사용하는 전기찜질기(K2)
"Facebook Technologies, LLC",2020,자발적리콜,오큘러스 퀘스트 2 가상현실 헤드셋(이하 “퀘스트2”)에 장착할 탈부착가능 안면 쿠션 커버
대성전자,2020,자발적리콜,전기요
금호타이어,2020,명령에따른리콜,자동차용 타이어
홍진테크,2020,명령에따른리콜,전기스토브
삼우힐링라이프,2020,명령에따른리콜,직류전원장치
제스파,2020,명령에따른리콜,직류전원장치
에이포인트코리아,2020,명령에따른리콜,직류전원장치
바이퍼럭스,2020,명령에따른리콜,직류전원장치
한일의료기,2020,명령에따른리콜,전기찜질기
오리온씨엔씨,2020,명령에따른리콜,전기찜질기
한일의료기,2020,명령에따른리콜,전기장판
한일생명과학,2020,명령에따른리콜,전기장판
우진의료기,2020,명령에따른리콜,전기장판
라디언스광주지점,2020,명령에따른리콜,전기요
금풍전기산업,2020,명령에따른리콜,전기요
원팩,2020,명령에따른리콜,전기요
태평양메디칼,2020,명령에따른리콜,전기요
한진종합,2020,명령에따른리콜,전기요
삼성인테리어조명,2020,명령에따른리콜,전기스탠드
한영상사,2020,명령에따른리콜,전기방석
한일메디칼,2020,명령에따른리콜,전기방석
우진테크,2020,명령에따른리콜,전기매트
디바제(dibase),2020,명령에따른리콜,백열등기구
베스트조명,2020,명령에따른리콜,LED등기구
글로벌엘이디,2020,명령에따른리콜,LED등기구
씨티전기,2020,명령에따른리콜,LED등기구
에스케이디엘이디,2020,명령에따른리콜,LED등기구
대한프라스틱,2020,명령에따른리콜,폴리염화비닐관
대경프라스틱,2020,명령에따른리콜,폴리염화비닐관
시호인터내셔날,2020,명령에따른리콜,실내용 바닥재
동성산업,2020,명령에따른리콜,온열팩
미래메디쿠스,2020,명령에따른리콜,고령자용 보행차
탑메디칼,2020,명령에따른리콜,고령자용 보행차
아이온컴퍼니,2020,명령에따른리콜,기타 어린이제품
대현화학공업,2020,명령에따른리콜,기타 어린이제품
플라잉타이거코리아,2020,명령에따른리콜,어린이용 장신구
도트엔도트,2020,명령에따른리콜,어린이용 장신구
수진글로벌,2020,명령에따른리콜,어린이용 장신구
율그란,2020,명령에따른리콜,어린이용 장신구
더그로우,2020,명령에따른리콜,어린이용 장신구
아이엔피,2020,명령에따른리콜,완구
무토,2020,명령에따른리콜,완구
백운홈쇼핑,2020,명령에따른리콜,완구
매직캐슬,2020,명령에따른리콜,완구
영공방,2020,명령에따른리콜,완구
빅마스터,2020,명령에따른리콜,완구
반디,2020,명령에따른리콜,완구
이투컬렉션,2020,명령에따른리콜,완구
매몬스튜디오,2020,명령에따른리콜,완구
조엔,2020,명령에따른리콜,완구
세븐스타나이스,2020,명령에따른리콜,아동용 섬유제품
느엘,2020,명령에따른리콜,아동용 섬유제품
앤젤아이,2020,명령에따른리콜,아동용 섬유제품
라운드 컴퍼니,2020,명령에따른리콜,아동용 섬유제품
밤블루(bimbelot),2020,명령에따른리콜,아동용 섬유제품
아이앤지,2020,명령에따른리콜,아동용 섬유제품
발코니,2020,명령에따른리콜,아동용 섬유제품
서울트레이딩,2020,명령에따른리콜,어린이용 가죽제품
정훈제화,2020,명령에따른리콜,어린이용 가죽제품
베틀사,2020,명령에따른리콜,유아용 섬유제품
베베,2020,명령에따른리콜,유아용 섬유제품
디홀릭인터내셔널,2020,명령에따른리콜,어린이용 가구
민국가구,2020,명령에따른리콜,어린이용 가구
핸즈퍼니쳐,2020,명령에따른리콜,어린이용 가구
민국가구,2020,명령에따른리콜,어린이용 가구
제일상사,2020,명령에따른리콜,자동차용 어린이 보호장치
지엠파트너,2020,명령에따른리콜,어린이용 이단침대
위니아딤채,2020,자발적리콜,김치냉장고
코린토,2020,자발적리콜,[카즈미] 피노 극세사 온열매트
이마트,2020,자발적리콜,건전지(알칼리·망간 전지)
참조은산업,2020,명령에따른리콜,아동용 섬유제품
참인-코리아,2020,명령에따른리콜,전기찜질기
굿프렌드,2020,명령에따른리콜,전기찜질기
가포씨,2020,명령에따른리콜,전기찜질기
휴토피아,2020,명령에따른리콜,전기욕조
비타그램,2020,명령에따른리콜,전기욕조
새실텍스피아,2020,명령에따른리콜,아동용 섬유제품
참조은산업,2020,명령에따른리콜,유아용 섬유제품
세계유통,2020,명령에따른리콜,완구
지나월드,2020,명령에따른리콜,완구
아이플러스(iPlus),2020,명령에따른리콜,완구
엠에이치앤코,2020,명령에따른리콜,완구
코쿤(cocoon),2020,명령에따른리콜,완구
이앤오(L&O),2020,명령에따른리콜,완구
비앤씨,2020,명령에따른리콜,완구
서흥인터내셔날,2020,명령에따른리콜,완구
SJ아르떼,2020,명령에따른리콜,완구
자연과학습,2020,명령에따른리콜,완구
종이나라,2020,명령에따른리콜,완구
엠케이에듀,2020,명령에따른리콜,완구
이종욱 완구,2020,명령에따른리콜,완구
메디클라임,2020,명령에따른리콜,완구
크링또,2020,명령에따른리콜,완구
메디클라임,2020,명령에따른리콜,완구
크리스탈 팬시,2020,명령에따른리콜,완구
팔레트슬라임,2020,명령에따른리콜,완구
미래와사람,2020,명령에따른리콜,완구
대연엔터프라이즈,2020,명령에따른리콜,완구
더텐트(The 텐트),2020,명령에따른리콜,완구
태서전기,2020,명령에따른리콜,완구
다온,2020,명령에따른리콜,완구
점핑앤점핑,2020,명령에따른리콜,완구
에스에이치코리아컴퍼니,2020,명령에따른리콜,완구
조이스포츠,2020,명령에따른리콜,완구
플레이벤처스,2020,명령에따른리콜,완구
토이원(TOY ONE),2020,명령에따른리콜,완구
삼성출판사,2020,명령에따른리콜,완구
뉴평화스포츠,2020,명령에따른리콜,완구
아벤토,2020,명령에따른리콜,완구
제우스상사,2020,명령에따른리콜,완구
아성에이치엠피,2020,자발적리콜,할로윈그림자손전등(대)
그린전산,2020,명령에따른리콜,직류전원장치
두현일렉,2020,명령에따른리콜,직류전원장치
바이퍼럭스,2020,명령에따른리콜,직류전원장치
하늘컴,2020,명령에따른리콜,직류전원장치
벤하임코리아,2020,명령에따른리콜,직류전원장치
에어로코리아,2020,명령에따른리콜,직류전원장치
대림테크,2020,명령에따른리콜,변압기 및 전압조정기
창조테크,2020,명령에따른리콜,일반조명기구
글로벌엘이디,2020,명령에따른리콜,일반조명기구
한승,2020,명령에따른리콜,일반조명기구
유니크라이트,2020,명령에따른리콜,일반조명기구
에어텍시스템,2020,명령에따른리콜,일반조명기구
디지탈조명,2020,명령에따른리콜,일반조명기구
한일테크,2020,명령에따른리콜,변압기 및 전압조정기
아이산업,2020,명령에따른리콜,완구
모나코올리브,2020,명령에따른리콜,실내용바닥재
히키스,2020,명령에따른리콜,실내용바닥재
비스비바,2020,명령에따른리콜,실내용바닥재
에덴샵,2020,명령에따른리콜,속눈썹열성형기
오하임아이엔티,2020,명령에따른리콜,가구
상일리베가구,2020,명령에따른리콜,가구
히트가구,2020,명령에따른리콜,가구
대진무역,2020,명령에따른리콜,비비탄총
리센,2020,명령에따른리콜,가구
플랜데코,2020,명령에따른리콜,가구
웨스트프롬,2020,명령에따른리콜,가구
동서가구,2020,명령에따른리콜,가구
가이온 퍼니처,2020,명령에따른리콜,가구
선우실업,2020,명령에따른리콜,가정용 압력냄비 및 압력솥
일화산업,2020,명령에따른리콜,가스라이터
미래스피드해운항공,2020,명령에따른리콜,가스라이터
도트엔도트,2020,명령에따른리콜,어린이용 안경테
성광옵틱,2020,명령에따른리콜,어린이용 안경테
강남옵틱,2020,명령에따른리콜,어린이용 안경테
언커먼키즈,2020,명령에따른리콜,어린이용 안경테
홀릭아이웨어,2020,명령에따른리콜,어린이용 안경테
성광사,2020,명령에따른리콜,어린이용 안경테
라포르 인터내셔널,2020,명령에따른리콜,아동용 섬유제품
글로벌세인트,2020,명령에따른리콜,아동용 섬유제품
인태니아이,2020,명령에따른리콜,유아용 의자
힐링비트,2020,명령에따른리콜,유아용 의자
아론물산,2020,명령에따른리콜,유아용 침대
맘러브스유,2020,명령에따른리콜,완구
"비앤씨, ningbo union vision imp&exp co.,ltd",2020,명령에따른리콜,완구
예샘,2020,명령에따른리콜,완구
더펀즈,2020,명령에따른리콜,완구
코너스톤에스에이치,2020,명령에따른리콜,완구
올림포스,2020,명령에따른리콜,완구
메디블루,2020,명령에따른리콜,완구
와니월드,2020,명령에따른리콜,완구
해브잇올,2020,명령에따른리콜,완구
에이비씨프로덕트,2020,자발적리콜,선글라스
데카트론코리아,2020,자발적리콜,SWISS BALL
시디즈,2020,자발적리콜,몰티(molti)
썬차일드,2020,명령에따른리콜,완구(퍼즐)
프라임사이언스,2020,명령에따른리콜,완구(발사체 완구)
주은교육,2020,명령에따른리콜,완구(교육용 완구)
향앤미과학,2020,명령에따른리콜,완구(교육용 완구)
창의와 놀이,2020,명령에따른리콜,완구(미술공예 완구)
포디랜드,2020,명령에따른리콜,완구(교육용 완구)
포디랜드,2020,명령에따른리콜,완구(교육용 완구)
신광사,2020,명령에따른리콜,완구(퍼즐)
길에듀월드,2020,명령에따른리콜,완구(기타어린이제품)
레드포인트,2020,명령에따른리콜,기타어린이제품(학습용품)
스포타임,2020,명령에따른리콜,기타어린이제품(배드민턴 라켓)
해피프랜즈,2020,명령에따른리콜,기타어린이제품(줄넘기)
해피프랜즈,2020,명령에따른리콜,기타어린이제품(줄넘기)
필박스,2020,명령에따른리콜,기타어린이제품(줄넘기)
필박스,2020,명령에따른리콜,기타어린이제품(줄넘기)
필박스,2020,명령에따른리콜,기타어린이제품(줄넘기)
필박스,2020,명령에따른리콜,기타어린이제품(줄넘기)
필박스,2020,명령에따른리콜,기타어린이제품(줄넘기)
점프,2020,명령에따른리콜,기타어린이제품(줄넘기)
점프,2020,명령에따른리콜,기타어린이제품(줄넘기)
대성상사,2020,명령에따른리콜,기타어린이제품(줄넘기)
베스타,2020,명령에따른리콜,기타어린이제품(축구공)
프랜즈코리아,2020,명령에따른리콜,기타어린이제품(줄넘기)
프랜즈코리아,2020,명령에따른리콜,기타어린이제품(줄넘기)
금홍팬시,2020,명령에따른리콜,기타어린이제품(줄넘기)
금홍팬시,2020,명령에따른리콜,기타어린이제품(줄넘기)
스엔코,2020,자발적리콜,유모차
LG전자,2020,자발적리콜,텔레비전수상기
아이산업,2020,자발적리콜,휴대용체스
오엔케이알트레이딩,2020,명령에따른리콜,스포츠용 구명복
오엔케이알트레이딩,2020,명령에따른리콜,스포츠용 구명복
오엔케이알트레이딩,2020,명령에따른리콜,스포츠용 구명복
야마하뮤직코리아,2020,자발적리콜,AC adaptor
엠케이,2020,명령에따른리콜,어린이용 가죽제품
파프개,2020,명령에따른리콜,아동용 섬유제품
JS무역,2020,명령에따른리콜,물놀이기구
두로카리스마,2020,명령에따른리콜,물놀이기구
코지트리,2020,명령에따른리콜,물놀이기구
코지트리,2020,명령에따른리콜,물놀이기구
플레이위즈,2020,명령에따른리콜,물놀이기구
케이에스몰,2020,명령에따른리콜,물놀이기구
서광산업,2020,명령에따른리콜,전기설비용 부속품 및 연결부품
하이벨,2020,명령에따른리콜,주방용전열기구
나노전자,2020,명령에따른리콜,교류전원을 사용하는 전격살충기
이지앤,2020,명령에따른리콜,유아용 섬유제품
펄튼코리아,2020,명령에따른리콜,어린이용 우산 및 양산
제이엔지코리아,2020,명령에따른리콜,아동용 섬유제품
제이엔지코리아,2020,명령에따른리콜,아동용 섬유제품
제이엔지코리아,2020,명령에따른리콜,아동용 섬유제품
제이엔지코리아,2020,명령에따른리콜,아동용 섬유제품
알제이디,2020,명령에따른리콜,아동용 섬유제품
제이플러스교역,2020,명령에따른리콜,아동용 섬유제품
퍼스트어패럴,2020,명령에따른리콜,아동용 섬유제품
이현어패럴,2020,명령에따른리콜,아동용 섬유제품
시우스포츠,2020,명령에따른리콜,아동용 섬유제품
인터토이,2020,명령에따른리콜,완구
윙하우스,2020,명령에따른리콜,어린이용 우산 및 양산
아성에이치엠피,2020,명령에따른리콜,어린이용 우산 및 양산
디보트,2020,명령에따른리콜,어린이용 우산 및 양산
지일무역,2020,명령에따른리콜,어린이용 우산 및 양산
무인양품,2020,명령에따른리콜,아동용 섬유제품
지일무역,2020,명령에따른리콜,아동용 섬유제품
아이블에프앤씨,2020,명령에따른리콜,아동용 섬유제품
월드토이,2020,명령에따른리콜,기타 어린이제품
오픈한,2020,명령에따른리콜,어린이용 가죽제품
휠라코리아,2020,명령에따른리콜,아동용 섬유제품
익스트림제이제이,2020,명령에따른리콜,아동용 섬유제품
성창에프앤지,2020,명령에따른리콜,아동용 섬유제품
구디스,2020,명령에따른리콜,아동용 섬유제품
에스투이 인터내셔널,2020,명령에따른리콜,아동용 섬유제품
이투컴,2020,명령에따른리콜,아동용 섬유제품
"베이비토마토(폐업), 베베랑(판매자)",2020,명령에따른리콜,어린이용 물놀이기구
주영이앤씨,2020,명령에따른리콜,완구
플레이지,2020,명령에따른리콜,완구
동성제모사,2020,명령에따른리콜,유아용 섬유제품
엘림인터내셔널,2020,명령에따른리콜,아동용 섬유제품
경원에프엔비,2020,명령에따른리콜,유아용 섬유제품
글로벌세인트,2020,명령에따른리콜,아동용 섬유제품
경원에프엔비,2020,명령에따른리콜,아동용 섬유제품
삼진인터내셔널,2020,명령에따른리콜,완구
동인SMT,2020,명령에따른리콜,완구
에스케이토이즈,2020,명령에따른리콜,완구
정산,2020,자발적리콜,코어 드릴 및 예비 부품
데카트론코리아,2020,자발적리콜,NH100 JR BLUE
에이피에스테크,2020,자발적리콜,냉온정수기
